country,iso3,ICER
Cameroon,CMR,"1,376"
Cote d'Ivoire,CIV,  730
DRC,COD,  136
Kenya,KEN,  587
Lesotho,LSO,"4,658"
Malawi,MWI,  401
Tanzania,TZA,  177
Uganda,UGA,  400
Zimbabwe,ZWE,"1,321"
