country,iso3,ICER
Cameroon,CMR,"10,906"
Cote d'Ivoire,CIV," 1,169"
DRC,COD,   211
Kenya,KEN,   989
Lesotho,LSO," 7,904"
Malawi,MWI,   676
Tanzania,TZA,   374
Uganda,UGA,   645
Zimbabwe,ZWE," 4,445"
