country,iso3,ICER
Cameroon,CMR,"6,862"
DRC,COD,  137
Kenya,KEN,  640
Lesotho,LSO,"4,935"
Malawi,MWI,  370
Tanzania,TZA,  277
Uganda,UGA,  298
Zimbabwe,ZWE,"1,826"
