country,cppt,cpit,cppe,cpcs
Cote d'Ivoire,6.60017090655429,5.77107810537205,53.5038118130996,4.90533702316674
Cameroon,4.23572715176298,4.43395083620509,40.9959458684905,3.77117280188011
DRC,2.74844927891234,2.93745575106342,27.4078184940161,2.49311290382644
Kenya,3.10289281183295,3.70712165262516,34.5003773737694,3.14821759490992
Lesotho,6.56037006265723,5.7616141732021,51.1382576849595,4.94842310882632
Malawi,4.42989887181711,3.71635811394053,34.5643938872582,3.156524186817
Uganda,9.41655848308362,4.5188657088361,41.9684485583754,3.83940479298796
Zimbabwe,5.84937875253254,4.34122567657837,40.3823798385504,3.68712771111029
