country,BL,INT
Cameroon,0.434482759,0.945578231
Cote d'Ivoire,0.680311891,0.849963583
DRC,0.884615385,0.913288288
Kenya,0.63878327,0.928199792
Lesotho,0.32748538,0.833017078
Malawi,0.933554817,0.988679245
Uganda,0.736842105,0.95256917
Zimbabwe,0.727272727,0.868258179
