country,iso3,ICER
Cameroon,CMR,"12,254"
DRC,COD,   180
Kenya,KEN,   729
Lesotho,LSO,"12,230"
Malawi,MWI,   409
Tanzania,TZA,   302
Uganda,UGA,   319
Zimbabwe,ZWE," 2,823"
