country,x,y,err
DRC,183.183183183183,0.5212,0.0212
Kenya,831.831831831832,0.5024,0.00239999999999996
Kenya,834.834834834835,0.5063,0.00629999999999997
Kenya,837.837837837838,0.5101,0.0101
Kenya,840.840840840841,0.5143,0.0143
Kenya,843.843843843844,0.5173,0.0173
Kenya,846.846846846847,0.5214,0.0214
Kenya,849.84984984985,0.5255,0.0255
Kenya,852.852852852853,0.5294,0.0294
Kenya,855.855855855856,0.5327,0.0327
Kenya,858.858858858859,0.5378,0.0377999999999999
Kenya,861.861861861862,0.542,0.042
Kenya,864.864864864865,0.5459,0.0459000000000001
Kenya,867.867867867868,0.5498,0.0498
Malawi,435.435435435435,0.5053,0.00529999999999997
Malawi,438.438438438438,0.5161,0.0161
Malawi,441.441441441441,0.5264,0.0264
Malawi,444.444444444444,0.5372,0.0372
Malawi,447.447447447447,0.5474,0.0474
Tanzania,333.333333333333,0.5135,0.0135
Tanzania,336.336336336336,0.5316,0.0316
Tanzania,339.339339339339,0.548,0.048
Uganda,285.285285285285,0.5096,0.00960000000000005
Uganda,288.288288288288,0.5327,0.0327
