country,numPT.soc,cost.soc,numPT.int,cost.int,DnumPT,Dcases,Datt,Ddeaths,LY0.dif,LY.dif,Dcost,ICER
Cameroon,100,"4,373 (1,939 to  8,101)",  141 (  128 to   155)," 14,358 ( 10,743 to  19,876)",   41 (   28 to    55), -5 (  -9 to  -2),  0 ( -1 to  1), -2 ( -5 to  -1),  151 (   62 to   291),   62 ( 26 to   120),"  9,985 (  8,418 to  12,135)",161
Côte d'Ivoire,100,"3,897 (1,832 to  6,869)",  267 (  227 to   311)," 41,188 ( 33,359 to  51,223)",  167 (  127 to   211),-10 ( -19 to  -4),  7 (  4 to 10), -6 (-11 to  -3),  379 (  212 to   656),  161 ( 90 to   277)," 37,290 ( 30,614 to  45,539)",232
DRC,100,"6,261 (2,262 to 14,131)","1,674 (1,453 to 1,933)","133,936 (106,927 to 171,613)","1,574 (1,353 to 1,833)",-99 (-193 to -35), -8 (-58 to 24),-44 (-85 to -19),"2,775 (1,203 to 5,383)","1,138 (493 to 2,208)","127,674 (101,599 to 163,661)",112
Kenya,100,"4,550 (2,085 to  8,232)",  269 (  227 to   317)," 26,470 ( 19,565 to  36,445)",  169 (  127 to   217),-13 ( -25 to  -4), -5 (-15 to  2), -4 ( -9 to  -1),  256 (   68 to   599),  103 ( 27 to   240)," 21,920 ( 16,671 to  29,324)",214
Lesotho,100,"3,262 (1,525 to  5,764)",  266 (  226 to   313)," 20,746 ( 15,512 to  28,104)",  166 (  126 to   213), -9 ( -15 to  -4),  6 (  3 to  8), -4 ( -7 to  -3),  267 (  164 to   425),  116 ( 72 to   183)," 17,484 ( 13,570 to  22,877)",151
Malawi,100,"2,030 (  901 to  3,689)",  321 (  244 to   433)," 18,615 ( 14,193 to  25,430)",  221 (  144 to   333), -3 (  -5 to  -1),  4 (  2 to  7), -3 ( -5 to  -1),  182 (   97 to   309),   75 ( 40 to   127)," 16,585 ( 12,980 to  22,189)",222
Tanzania,100,"7,080 (2,243 to 17,154)","1,438 (1,108 to 1,873)"," 74,703 ( 46,843 to 118,485)","1,338 (1,008 to 1,773)",-74 (-148 to -26),-27 (-98 to 15),-23 (-59 to  -4),"1,615 (  277 to 4,080)","  647 (111 to 1,633)"," 67,623 ( 40,453 to 109,538)",105
Uganda,100,"3,943 (1,840 to  7,128)",  735 (  574 to   948),"144,924 (109,790 to 191,921)",  635 (  474 to   848),-12 ( -23 to  -5), 16 (  2 to 30),-11 (-20 to  -5),"  746 (  348 to 1,308)",  310 (145 to   541),"140,981 (106,632 to 187,018)",455
Zimbabwe,100,"5,685 (2,817 to  9,944)","1,207 (  774 to 1,929)","154,236 (103,515 to 235,779)","1,107 (  674 to 1,829)", -5 ( -10 to  -2), 17 (  7 to 32), -9 (-16 to  -4),  540 (  272 to   998),  234 (118 to   433),"148,551 ( 99,262 to 228,133)",634
