variable,n_eff,Rhat
Cameroon,13907,0.9999
Cote d'Ivoire,12349,0.9998
DRC,16579,0.9999
Kenya,9633,1.0006
Lesotho,8670,0.9999
Malawi,11556,0.9998
Uganda,8299,0.9999
Zimbabwe,9902,0.9999
sig,3603,1.0002
lcm,9038,1
lcs,6648,1
