country,2.5%,50%,97.5%
Cameroon,0.573147598667233,0.867490743817013,1.30366208862285
Cote d'Ivoire,0.460542892920546,0.776412702933766,1.30280135926672
DRC,1.3464864298689,1.85537119610405,2.55068929436555
Kenya,0.583312285422914,0.944835173247485,1.5012018036436
Lesotho,0.509303857124945,0.778133569729146,1.20403252289769
Malawi,1.02429975551196,1.52290375191551,2.27975370405531
Uganda,1.79366702799883,2.73295923857333,4.22510185217459
Zimbabwe,0.554552624684237,0.896250233416433,1.44406549130967
SUMMARY,0.6856378364,1.17346533991176,1.94193302648519
