variable,n_eff,Rhat
Cameroon,16278,0.9998
Cote d'Ivoire,14760,0.9999
DRC,16686,1
Kenya,15827,1
Lesotho,16523,0.9998
Malawi,12917,0.9999
Uganda,13006,1.0001
Zimbabwe,11939,0.9999
sig,6299,1.0002
lcm,10787,1
lcs,7519,0.9999
