variable,n_eff,Rhat
Cameroon,13726,1.0002
Cote d'Ivoire,12622,0.9999
DRC,18833,1
Kenya,9186,0.9999
Lesotho,8716,1.0008
Malawi,14303,0.9999
Uganda,8437,0.9998
Zimbabwe,11070,1.0001
sig,5628,1.0001
lcm,8529,1.0001
lcs,6544,1.0006
