country,2.5%,50%,97.5%,mean
Cameroon,1.2250326440394,2.21401035248255,4.15223674424505,2.22388784365457
Cote d'Ivoire,1.04877789402015,2.01722826153301,3.95657706679406,2.02161740926756
DRC,14.9868497663887,24.3058989178814,40.8002091106242,24.4112949842973
Kenya,1.91110072732748,3.47462433313921,6.04174021542816,3.45620803181219
Lesotho,2.04950435476559,3.459457342715,6.0348238882112,3.48388435214352
Malawi,0.858152395140303,1.48555428385546,2.59293831419183,1.48897954137392
Tanzania,11.4461202327722,20.5050009035194,37.8756814149967,20.6044342437319
Uganda,1.40292941538324,2.53868288136801,4.69800292113363,2.54649482734796
Zimbabwe,1.0859486717936,1.89506703636527,3.34512061979132,1.90072816561085
