country,country.effect,int.number
Cameroon,2.21743800097394,581
Cote d'Ivoire,1.76036208002861,1613
DRC,17.2848895164404,6203
Kenya,2.93791922363351,846
Lesotho,2.20591197840422,450
Malawi,1.29473300993531,912
Uganda,3.5765479876161,211
Zimbabwe,1.99487165950581,425
