country,country.effect,int.number
Cameroon,3.34148237544071,1075
Cote d'Ivoire,1.6267376784217,1719
DRC,9.79721460486304,6470
Kenya,1.7079406583311,927
Lesotho,2.52452132493497,848
Malawi,1.8109061362635,1358
Tanzania,9.69935233762648,1944
Uganda,7.93629435579901,913
Zimbabwe,5.23441366102018,1269
