country,country.effect,int.number
Cameroon,0.794040081682076,212
Cote d'Ivoire,0.971687972328654,423
DRC,1.65606586275621,2414
Kenya,1.36164143076585,442
Lesotho,0.782363448340697,138
Malawi,1.64804402008356,525
Tanzania,2.05421859628396,1008
Uganda,2.77720124702883,372
Zimbabwe,1.17358312612535,225
