country,country.effect,int.number
Cameroon,1.05233077417892,89
Cote d'Ivoire,1.00026860156588,151
DRC,1.47142348610392,920
Kenya,1.49588085744849,295
Lesotho,1.26869748379573,72
Malawi,2.5160138706609,229
Tanzania,2.10299087442255,446
Uganda,2.83311378643367,196
Zimbabwe,1.22324159021407,160
