country,2.5%,50%,97.5%,mean
Cameroon,0.419217361265984,0.643625034507573,0.971711484776782,0.640715016042735
Cote d'Ivoire,0.511150749303003,0.785163073180009,1.18020815888166,0.782278210579163
DRC,1.30689773888007,1.74296778264414,2.30900769666594,1.74181537860441
Kenya,0.48346113673407,0.779555394622654,1.24463966152414,0.782292830045381
Lesotho,0.306495422318426,0.488987777984575,0.758941040604316,0.486045559862288
Malawi,0.789252819604909,1.16210527406165,1.69075971515791,1.16575672845729
Tanzania,0.968192392233648,1.35899574291084,1.9238442453742,1.35974943821343
Uganda,1.14499562251651,1.74447808231987,2.66773417012234,1.73993610835177
Zimbabwe,0.395794634846614,0.681921632138343,1.137436508788,0.680176806493338
