variable,n_eff,Rhat
Cameroon,11583,0.9999
Cote d'Ivoire,8995,0.9999
DRC,12706,0.9998
Kenya,7137,1.0001
Lesotho,7400,1.0003
Malawi,9909,1.0001
Uganda,7227,1.0001
Zimbabwe,9717,0.9998
sig,3760,1
lcm,9253,1
lcs,6260,1
