site.effect,int.number,country
0.465561224489797,1,Cameroon
0.537555228276877,4,Cameroon
0.357843137254903,2,Cameroon
1.54661016949153,3,Cameroon
5.69200779727097,8,Cameroon
0.514084507042253,5,Cameroon
0.322058823529412,12,Cameroon
0.928753180661576,8,Cameroon
0.862884160756501,44,Cameroon
0.450246710526316,3,Cameroon
2.22222222222222,4,Cameroon
0.93951093951094,12,Cameroon
0.299671592775041,3,Cameroon
0.851241046143594,14,Cameroon
0.593388728323701,36,Cote d'Ivoire
1.56780772509673,131,Cote d'Ivoire
0.872446762277272,22,Cote d'Ivoire
0.590952380952382,17,Cote d'Ivoire
0.314655172413793,3,Cote d'Ivoire
0.688968120805369,9,Cote d'Ivoire
6.76970633693973,12,Cote d'Ivoire
1.38025210084034,18,Cote d'Ivoire
0.912980516061084,19,Cote d'Ivoire
0.222127555988316,5,Cote d'Ivoire
1.72271386430679,48,DRC
1.51407407407407,28,DRC
1.23781263247139,64,DRC
0.902486112992821,73,DRC
1.33649968159626,69,DRC
7.26769911504425,54,DRC
1.32685316895843,46,DRC
2.80710071639275,73,DRC
5.12979497354498,85,DRC
3.35093398429208,173,DRC
1.91914682539683,53,DRC
2.66507936507937,69,DRC
0.634481668773704,33,DRC
2.03803202697008,53,DRC
1.53318870014771,91,DRC
0.541543026706233,40,DRC
2.39472078120232,129,DRC
1.31790579353357,132,DRC
1.76446891365651,36,DRC
11.0524372230429,82,DRC
3.39159292035398,63,DRC
Inf,3,Kenya
1.15275930851064,95,Kenya
Inf,3,Kenya
0.579365079365079,5,Kenya
1.7109375,15,Kenya
0.285156249999999,1,Kenya
Inf,3,Kenya
0.437999999999999,3,Kenya
Inf,1,Kenya
0.285156249999999,2,Kenya
Inf,2,Kenya
0,0,Kenya
4.56964006259781,8,Kenya
Inf,6,Kenya
0,0,Kenya
1.90104166666666,3,Lesotho
,0,Lesotho
0.322438162544169,1,Lesotho
,0,Lesotho
Inf,2,Lesotho
0.843443096476027,4,Lesotho
1.40467732386027,13,Lesotho
0.70777583866589,10,Lesotho
0,0,Lesotho
0.849331006399068,4,Lesotho
1.43700787401575,2,Lesotho
0,0,Lesotho
0.136024844720497,6,Lesotho
Inf,1,Lesotho
0.644876325088339,2,Lesotho
0.792382080126307,11,Lesotho
0.350287907869481,1,Lesotho
0.162946428571429,1,Lesotho
0.820593525179857,5,Lesotho
3.00824175824175,24,Malawi
0.339377033937704,2,Malawi
Inf,4,Malawi
1.00968188105118,16,Malawi
2.92807745504841,29,Malawi
1.67549435028249,26,Malawi
0.557081807081806,10,Malawi
1,34,Malawi
0.780987314687452,14,Malawi
Inf,17,Malawi
1.15392214977277,16,Malawi
0.884695290858724,42,Malawi
1.51243093922652,6,Malawi
3.33195020746888,33,Malawi
0.823685243328099,23,Malawi
3.8898756660746,12,Tanzania
5.04317789291882,8,Tanzania
1.47092688543465,7,Tanzania
0.983532934131738,27,Tanzania
7.43813682678312,14,Tanzania
Inf,4,Tanzania
0.54221341916316,6,Tanzania
2.56913021618904,28,Tanzania
1.46390374331551,45,Tanzania
0.378281897742976,9,Tanzania
0.605737316263632,21,Tanzania
3.32422586520948,10,Tanzania
5.8748137108793,54,Tanzania
0.817164179104477,12,Tanzania
3.2473309608541,20,Tanzania
Inf,3,Tanzania
3.18607621886311,41,Tanzania
0.692411924119241,7,Tanzania
Inf,6,Tanzania
1.0444640105657,13,Tanzania
0,0,Uganda
1.99453551912569,3,Uganda
Inf,3,Uganda
0.939510939510938,4,Uganda
0.771437198067635,7,Uganda
0,0,Uganda
4.65391621129327,14,Uganda
Inf,1,Uganda
2.32695810564664,7,Uganda
Inf,28,Uganda
Inf,9,Uganda
1.16641022606225,27,Uganda
12.2743362831859,19,Uganda
4.65391621129327,7,Uganda
2.11389961389961,18,Uganda
6.6849816849817,10,Uganda
Inf,5,Uganda
Inf,11,Uganda
2.05827067669173,3,Uganda
0.331182578889001,9,Zimbabwe
0,0,Zimbabwe
1.31701030927835,14,Zimbabwe
10.1254953764861,21,Zimbabwe
Inf,1,Zimbabwe
Inf,1,Zimbabwe
Inf,1,Zimbabwe
0.642888595332453,4,Zimbabwe
0,0,Zimbabwe
0,0,Zimbabwe
2.4108322324967,5,Zimbabwe
Inf,1,Zimbabwe
1.28577719066491,8,Zimbabwe
